# QC Report for S3
# Generated by step3_normalization.py

## Summary Statistics
study_id: S3
n_samples: 289
n_samples_AD: 219
n_samples_Control: 70
n_genes_total: 30727
n_genes_variable: 29549
total_raw_counts: 153952928
mean_counts_per_sample: 532709.10
median_counts_per_sample: 468937.90
mean_detected_genes_per_sample: 22704.31
mean_zero_percent: 26.11

## Sample-level QC Metrics
sample_id	total_counts	mean_expression	median_expression	std_expression	min_expression	max_expression	zero_count	zero_percent	detected_genes
GSM3577701	395003.3122987086	12.85525148236758	0.687226177251018	196.1190931098513	0.0	21144.8159298761	6550	21.3167572493247	24177
GSM3577702	471993.02415976813	15.360856060135	0.817034692775437	328.7099790841234	0.0	26349.6569387325	7918	25.768867771015717	22809
GSM3577703	392036.62454318407	12.758701615620922	0.875258221103016	243.49260534344168	0.0	19630.6819001852	8274	26.927457936017184	22453
GSM3577704	868556.0694410922	28.266868533898272	0.674080607576936	788.9139095855437	0.0	61411.049697863	9316	30.318612295375402	21411
GSM3577705	590655.9650483192	19.222702022596387	0.774945049559069	512.771962838833	0.0	46219.5013763107	6717	21.860253197513586	24010
GSM3577706	389274.7024555416	12.668815779462413	0.817131914970893	202.24354951846658	0.0	18513.2699811685	6688	21.765873661600548	24039
GSM3577707	417698.11424046016	13.59384626681616	0.761481260242813	202.876228665208	0.0	14172.2384585978	8177	26.611774660721842	22550
GSM3577708	487524.5368180879	15.866323976245253	0.668837770745929	274.6720910227877	0.0	25761.6986363389	9307	30.289322094574807	21420
GSM3577709	465211.0514471201	15.140139012826507	0.736173682128222	288.64974614300246	0.0	27109.694737331	7979	25.967390243108667	22748
GSM3577710	346293.83320266695	11.27001767835021	0.811892959328633	121.55136093403777	0.0	11886.6451910304	7510	24.441045334721906	23217
GSM3577711	489149.2063094993	15.919198304731971	0.771097083080335	340.4001714518141	0.0	32169.1120923548	8076	26.28307351840401	22651
GSM3577712	658374.0326443454	21.426564020058755	0.800979499479089	550.5953685338386	0.0	38340.4655731897	8401	27.34077521398119	22326
GSM3577713	365167.10829553346	11.884242141944656	0.878362939564398	177.67009077048309	0.0	12881.9828508275	7425	24.16441566049403	23302
GSM3577714	347404.2351017018	11.306155339008097	0.815771453249454	119.08546157109093	0.0	12633.7594613146	7686	25.013831483711396	23041
GSM3577715	496875.491122762	16.170647675424284	0.718074766678216	302.6358526784242	0.0	25923.7813534527	7914	25.755849903993234	22813
GSM3577716	319052.8559468572	10.383469129653308	0.765859526666708	110.51380199678164	0.0	7181.28652369087	7739	25.186318221759365	22988
GSM3577717	737837.4411785841	24.012674233689722	0.698116638809507	704.8758577586619	0.0	68899.0285236256	7914	25.755849903993234	22813
GSM3577718	332244.6156465401	10.812790563561041	0.784264395006882	105.47791548180668	0.0	10375.5311304984	7283	23.702281381195693	23444
GSM3577719	566059.3437822737	18.422213160486663	0.843806857193264	468.1791085747186	0.0	36236.3424715897	7891	25.680997168613924	22836
GSM3577720	311384.32447463844	10.133899322245531	0.90854273245769	98.95436983084389	0.0	7216.2754805728	7308	23.78364305008624	23419
GSM3577721	300166.4966449377	9.768818844824999	0.895102742554506	110.28271123323536	0.0	8476.3830323069	7289	23.721808181729422	23438
GSM3577722	375637.7755453934	12.225006526683158	0.925751107271269	211.30439935473828	0.0	16149.9388619037	7340	23.88778598626615	23387
GSM3577723	484710.85457494296	15.77475362303326	0.738366009669209	302.1604085858941	0.0	27077.6807644903	7876	25.63218016727959	22851
